0, 5, 10, 8, 213, 201.86653780937195
0, 5, 30, 5, 819, 1154.3957431316376
0, 5, 20, 5, 693, 726.8086810112
0, 5, 8, 10, 64, 161.86760711669922
0, 5, 10, 5, 550, 811.2314758300781
1, 5, 5, 15, 136, 878.7636277675629
1, 5, 10, 15, 235, 373.57941913604736
1, 5, 15, 15, 320, 405.28839230537415
1, 5, 10, 12, 648, 1495.46604180336
1, 5, 10, 18, 98, 165.49273109436035
2, 5, 5, 15, 53, 802.480554819107
2, 5, 10, 15, 106, 322.8768079280853
2, 5, 15, 15, 183, 370.87734389305115
2, 5, 10, 12, 265, 1362.3355934619904
2, 5, 10, 18, 53, 157.79338359832764
0, 11, 10, 8, 15, 171.29604411125183
0, 11, 30, 5, 392, 712.0064766407013
0, 11, 20, 5, 207, 435.0128276348114
0, 11, 8, 10, 3, 154.78227615356445
0, 11, 10, 5, 80, 219.23993468284607
1, 11, 5, 15, 177, 1158.7804057598114
1, 11, 10, 15, 383, 694.9533205032349
1, 11, 15, 15, 588, 592.3345241546631
1, 11, 10, 12, 1005, 3383.9127757549286
1, 11, 10, 18, 168, 224.03942894935608
2, 11, 5, 15, 61, 1130.6906125545502
2, 11, 10, 15, 167, 653.6946845054626
2, 11, 15, 15, 253, 551.1794562339783
2, 11, 10, 12, 498, 3267.756508588791
2, 11, 10, 18, 78, 207.6457839012146
0, 20, 10, 8, 31, 182.1555359363556
0, 20, 30, 5, 474, 1259.8619759082794
0, 20, 20, 5, 524, 1058.259994983673
0, 20, 8, 10, 12, 153.3083918094635
0, 20, 10, 5, 449, 1476.7094883918762
1, 20, 5, 15, 48, 503.38288974761963
1, 20, 10, 15, 161, 447.42366909980774
1, 20, 15, 15, 230, 451.0340430736542
1, 20, 10, 12, 405, 1771.898648738861
1, 20, 10, 18, 84, 191.40310978889465
2, 20, 5, 15, 25, 528.288560628891
2, 20, 10, 15, 66, 448.823659658432
2, 20, 15, 15, 114, 456.44755578041077
2, 20, 10, 12, 190, 1809.304658651352
2, 20, 10, 18, 44, 182.76014375686646
0, 30, 10, 8, 70, 196.87222123146057
0, 30, 30, 5, 388, 1204.8065242767334
0, 30, 20, 5, 370, 945.5646848678589
0, 30, 8, 10, 21, 157.9223597049713
0, 30, 10, 5, 195, 627.6554205417633
1, 30, 5, 15, 259, 2118.0078241825104
1, 30, 10, 15, 364, 767.7446224689484
1, 30, 15, 15, 405, 575.2991991043091
1, 30, 10, 12, 795, 3336.472315311432
1, 30, 10, 18, 138, 227.46052074432373
2, 30, 5, 15, 124, 2020.3799545764923
2, 30, 10, 15, 185, 689.527024269104
2, 30, 15, 15, 191, 543.7066287994385
2, 30, 10, 12, 427, 3147.5318405628204
2, 30, 10, 18, 55, 208.19076323509216
0, 42, 10, 8, 47, 172.14789271354675
0, 42, 30, 5, 452, 907.8605120182037
0, 42, 20, 5, 313, 622.4004092216492
0, 42, 8, 10, 7, 150.21031427383423
0, 42, 10, 5, 234, 338.84442138671875
1, 42, 5, 15, 176, 589.4003427028656
1, 42, 10, 15, 383, 329.13023018836975
1, 42, 15, 15, 391, 362.8730764389038
1, 42, 10, 12, 723, 1081.6439085006714
1, 42, 10, 18, 137, 151.7229323387146
2, 42, 5, 15, 112, 650.3528361320496
2, 42, 10, 15, 219, 325.9179036617279
2, 42, 15, 15, 234, 355.93591380119324
2, 42, 10, 12, 439, 1057.8056302070618
2, 42, 10, 18, 80, 154.28610920906067
